Class,left word,right word,left pos,right pos,foo
3,бесписьменный,вообще,A,ADV,foo
3,цыганский,до,A,PR,foo
3,бесписьменный,он,A,SPRO,foo
3,,выглядеть,,V,foo
3,греческий,записывать,A,V,foo
3,еврейский,упоминать,A,V,foo
5,на,лирик,PR,S,foo
2,лагерь,повертываться,S,V,foo
1,стебель,тронуть,S,V,foo
3,бедный,выглядеть,A,V,foo
2,удерживать,,V,,foo
2,на,вахтерша,PR,S,foo
2,но,не,CONJ,PART,foo
5,быть,их,V,APRO,foo
5,фразеология,шекспир,S,S,foo
3,русский,профессиональный,A,A,foo
3,немецкий,,A,,foo
2,тот,и,APRO,CONJ,foo
2,на,романист,PR,S,foo
3,русский,и,A,CONJ,foo
2,она,прикусывать,SPRO,V,foo
2,самый,заплетаться,APRO,V,foo
2,на,блистательный,PR,A,foo
5,футбольный,мой,A,APRO,foo
5,общий,убеждать,A,V,foo
5,общий,и,A,CONJ,foo
3,русский,хорошо,A,ADV,foo
3,выучивать,и,V,CONJ,foo
3,английский,который,A,APRO,foo
